Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
poco,poco c75 5g,enchanted green,flipkart,10999.0,7699.0,3300.0,30.0,4,64,6.88,5160,5,50,4s gen 2 5g processor,4.3,83280,4112
poco,poco m6 plus,graphite black,flipkart,15999.0,10080.0,5919.0,36.0,6,128,6.79,5030,13,50,snapdragon 4 gen2 ae processor,4.2,59597,3573
cmf,cmf by nothing,black,flipkart,22999.0,18999.0,4000.0,17.0,8,128,6.77,5000,16,108,dimensity 7300 pro 5g processor,4.4,15881,1311
motorola,motorola g85 5g,viva magenta,flipkart,20999.0,15999.0,5000.0,23.0,8,128,6.67,5000,32,108,6s gen 3 processor,4.4,217987,11163
oppo,oppo k13 5g,prism black,flipkart,22999.0,17999.0,5000.0,21.0,8,128,6.67,7000,16,50,snapdragon 6 gen 4 processor,4.5,24615,1677
motorola,motorola g35 5g,midnight black,flipkart,12499.0,9999.0,2500.0,20.0,4,128,6.72,5000,16,108,t760 processor,4.2,64998,4764
poco,poco f7 5g,cyber silver edition,flipkart,37999.0,33999.0,4000.0,10.0,12,512,6.83,7550,20,50,8s gen 4 processor,4.4,5646,699
motorola,motorola g45 5g,viva magenta,flipkart,14999.0,11999.0,3000.0,20.0,8,128,6.5,5000,16,50,snapdragon 6s gen 3 processor,4.3,195416,10117
vivo,vivo t4 lite,titanium gold,flipkart,13999.0,9999.0,4000.0,28.0,4,128,6.74,6000,5,108,dimensity 6300 5g processor,4.4,7237,216
samsung,samsung guru music,black,flipkart,2349.0,949.0,1400.0,59.0,6,64,1.8,800,16,50,na processor,3.1,16817,1264
samsung,samsung guru 1200,black,flipkart,1699.0,786.0,913.0,53.0,8,128,1.52,800,6,50,4s gen 2 5g processor,3.1,5194,373
poco,poco c75 5g,aqua bliss,flipkart,11499.0,8499.0,3000.0,26.0,4,128,6.88,5160,5,32,4s gen 2 5g processor,4.3,83280,4112
samsung,samsung galaxy f16,glam green,flipkart,17499.0,11499.0,6000.0,34.0,6,128,6.657,5000,13,50,dimensity 6300 processor,4.2,4683,309
redmi,redmi a5,just black,flipkart,8999.0,6499.0,2500.0,27.0,3,64,6.88,5200,8,108,t7250 processor,4.3,2309,116
motorola,motorola edge 60,pantone amazonite,flipkart,25999.0,22999.0,3000.0,11.0,8,256,6.67,5500,32,50,dimensity 7400 processor,4.5,42821,2423
motorola,motorola g45 5g,viva magenta,flipkart,12999.0,10999.0,2000.0,15.0,4,128,6.5,5000,16,50,snapdragon 6s gen 3 processor,4.3,48119,2944
apple,apple iphone 16,white,flipkart,79900.0,69999.0,9901.0,12.0,12,128,6.1,4500,12,108,a18 chip 6 core processor processor,4.6,19106,793
poco,poco m7 5g,mint green,flipkart,12999.0,9299.0,3700.0,28.0,6,128,6.88,5160,8,50,4 gen 2 5g processor,4.1,25331,1321
apple,apple iphone 16,black,flipkart,79900.0,69999.0,9901.0,12.0,12,128,6.1,4600,12,50,a18 chip 6 core processor processor,4.6,19106,793
infinix,infinix note 50s,marine drift,flipkart,19999.0,14999.0,5000.0,25.0,6,128,6.78,5500,13,50,dimensity 7300 ultimate processor,4.4,1276,86
oppo,oppo k13x 5g,midnight violet,flipkart,15999.0,11999.0,4000.0,25.0,4,128,6.67,6000,8,108,dimensity 6300 processor,4.5,1949,310
redmi,redmi a5,just black,flipkart,8999.0,6499.0,2500.0,27.0,3,64,6.88,5200,8,50,t7250 processor,4.3,2309,116
vivo,vivo t4x 5g,marine blue,flipkart,17999.0,13999.0,4000.0,22.0,6,128,6.72,6500,8,32,dimensity 7300 5g processor,4.4,91091,4758
redmi,redmi 13 5g,orchid pink,flipkart,17999.0,11967.0,6032.0,33.0,6,128,6.79,5030,12,50,qualcomm sm4450 snapdragon 4 gen 2 ae 4 nm processor,4.2,42234,2172
motorola,motorola edge 60,pantone zephyr,flipkart,25999.0,22999.0,3000.0,11.0,8,256,6.67,5500,32,20,dimensity 7400 processor,4.5,42821,2423
poco,poco c71,power black,flipkart,9999.0,6999.0,3000.0,30.0,6,128,6.88,5200,8,108,unisoc t7250 processor,4.1,9351,513
motorola,motorola g85 5g,olive green,flipkart,20999.0,15999.0,5000.0,23.0,8,128,6.67,5000,32,50,6s gen 3 processor,4.4,217987,11163
motorola,motorola edge 60,pantone slipstream,flipkart,25999.0,22999.0,3000.0,11.0,8,256,6.67,5500,32,50,dimensity 7400 processor,4.5,42821,2423
samsung,samsung galaxy f16,vibing blue,flipkart,18999.0,13499.0,5500.0,28.0,8,128,6.657,5000,13,108,dimensity 6300 processor,4.2,2075,150
motorola,motorola g45 5g,brilliant blue,flipkart,12999.0,10999.0,2000.0,15.0,4,128,6.5,5000,16,108,snapdragon 6s gen 3 processor,4.3,48119,2944
vivo,vivo t4 lite,titanium gold,flipkart,13999.0,9999.0,4000.0,28.0,4,128,6.74,6000,5,50,dimensity 6300 5g processor,4.4,7237,216
motorola,motorola g45 5g,brilliant green,flipkart,12999.0,10999.0,2000.0,15.0,4,128,6.5,5000,16,20,snapdragon 6s gen 3 processor,4.3,48119,2944
poco,poco m7 pro,lavender frost,flipkart,20999.0,14999.0,6000.0,28.0,8,256,6.67,5110,20,50,dimensity 7025 ultra processor,4.2,6921,707
redmi,redmi 13 5g,orchid pink,flipkart,17999.0,11967.0,6032.0,33.0,6,128,6.79,5030,16,50,qualcomm sm4450 snapdragon 4 gen 2 ae 4 nm processor,4.2,42234,2172
samsung,samsung guru music,blue,flipkart,1999.0,948.0,1051.0,52.0,8,128,1.8,800,8,108,qualcomm sm4450 snapdragon 4 gen 2 ae 4 nm processor,3.1,16817,1264
motorola,motorola edge 50,marshmallow blue,flipkart,25999.0,18999.0,7000.0,26.0,8,128,6.7,5000,32,50,7s gen 2 processor,4.4,129175,8373
poco,poco m7 pro,lunar dust,flipkart,18999.0,12999.0,6000.0,31.0,6,128,6.67,5110,20,12,dimensity 7025 ultra processor,4.3,17015,1472
tecno,tecno spark go,turquoise green,flipkart,8499.0,6699.0,1800.0,21.0,3,64,6.67,5000,12,13,t7250 processor,4.3,1200,1430
poco,poco c75 5g,enchanted green,flipkart,11499.0,8499.0,3000.0,26.0,4,128,6.88,5160,5,13,4s gen 2 5g processor,4.3,83280,4112
motorola,motorola g35 5g,leaf green,flipkart,12499.0,9999.0,2500.0,20.0,4,128,6.72,5000,16,12,t760 processor,4.2,64998,4764
motorola,motorola edge 50,forest blue,flipkart,25999.0,18999.0,7000.0,26.0,8,128,6.7,5000,32,108,7s gen 2 processor,4.4,129175,8373
samsung,samsung galaxy f16,bling black,flipkart,17499.0,11499.0,6000.0,34.0,6,128,6.657,5000,13,108,dimensity 6300 processor,4.2,4683,309
samsung,samsung sm 310e,black,flipkart,1999.0,990.0,1009.0,50.0,4,64,1.9,800,13,50,dimensity 6300 processor,3.2,317,27
oppo,oppo k13 5g,prism black,flipkart,22999.0,17999.0,5000.0,21.0,8,128,6.67,7000,16,108,snapdragon 6 gen 4 processor,4.5,24615,1677
motorola,motorola edge 50,marshmallow blue,flipkart,27999.0,20999.0,7000.0,25.0,12,256,6.7,5000,32,108,7s gen 2 processor,4.4,157688,10859
motorola,motorola edge 50,forest blue,flipkart,27999.0,20999.0,7000.0,25.0,12,256,6.7,5000,32,108,7s gen 2 processor,4.4,157688,10859
samsung,samsung galaxy f16,bling black,flipkart,15999.0,10749.0,5250.0,32.0,4,128,6.657,5000,13,20,dimensity 6300 processor,4.2,2787,175
motorola,motorola edge 50,forest green,flipkart,25999.0,18999.0,7000.0,26.0,8,128,6.7,5000,32,20,7s gen 2 processor,4.4,129175,8373
oneplus,oneplus nord ce4,mega blue,flipkart,20999.0,16843.0,4156.0,19.0,8,128,6.67,5500,16,32,a18 chip 6 core processor processor,4.4,25654,1235
apple,apple iphone 16,ultramarine,flipkart,79900.0,69999.0,9901.0,12.0,16,128,6.1,4300,12,50,a18 chip 6 core processor processor,4.6,19106,793
poco,poco x7 5g,cosmic silver,flipkart,24999.0,15999.0,9000.0,36.0,8,128,6.67,5500,20,50,dimensity 7300 ultra processor,4.3,13142,1155
infinix,infinix note 50s,burgundy red,flipkart,19999.0,14999.0,5000.0,25.0,6,128,6.78,5500,13,50,dimensity 7300 ultimate processor,4.4,1276,86
realme,realme p3x 5g,lunar silver,flipkart,16999.0,12999.0,4000.0,23.0,6,128,6.72,6000,8,32,dimensity 6400 processor,4.4,25519,891
iqoo,iqoo z10x 5g,ultramarine,flipkart,17499.0,13690.0,3809.0,21.0,6,128,6.7,6500,5,50,dimensity 6400 processor,4.4,2066,120
oppo,oppo k13 5g,prism black,flipkart,22999.0,17999.0,5000.0,21.0,8,128,6.67,7000,16,12,snapdragon 6 gen 4 processor,4.5,24615,1677
poco,poco m7 5g,ocean blue,flipkart,13999.0,10299.0,3700.0,26.0,8,128,6.88,5160,8,12,4 gen 2 5g processor,4.2,5232,314
infinix,infinix note 50s,burgundy red,flipkart,19999.0,14999.0,5000.0,25.0,6,128,6.78,5500,13,12,dimensity 7300 ultimate processor,4.4,1276,86
poco,poco c75 5g,silver stardust,flipkart,10999.0,7699.0,3300.0,30.0,4,64,6.88,5160,5,3,4s gen 2 5g processor,4.3,83280,4112
samsung,samsung galaxy a35,awesome navy,flipkart,36999.0,21999.0,15000.0,40.0,8,256,6.6,5000,13,108,samsung exynos 1380 processor,4.3,22174,1486
poco,poco m7 5g,satin black,flipkart,13999.0,10299.0,3700.0,26.0,8,128,6.88,5160,8,50,4 gen 2 5g processor,4.2,5232,314
vivo,vivo t4x 5g,marine blue,flipkart,17999.0,13999.0,4000.0,22.0,6,128,6.72,6500,8,50,dimensity 7300 5g processor,4.4,91091,4758
samsung,samsung galaxy f16,vibing blue,flipkart,15999.0,10749.0,5250.0,32.0,4,128,6.657,5000,13,50,dimensity 6300 processor,4.2,2787,175
realme,realme 14x 5g,crystal black,flipkart,16999.0,14999.0,2000.0,11.0,6,128,6.67,6000,8,20,dimensity 6300 processor,4.3,10608,523
samsung,samsung guru1200,black,flipkart,1799.0,797.0,1002.0,55.0,6,64,1.8,800,12,50,dimensity 6300 processor,3.0,1596,137
infinix,infinix note 50x,enchanted purple,flipkart,14999.0,11499.0,3500.0,23.0,6,128,6.67,5500,8,108,dimensity 7300 ultimate processor,4.3,10347,1032
motorola,motorola g85 5g,cobalt blue,flipkart,20999.0,15999.0,5000.0,23.0,8,128,6.67,5000,32,108,6s gen 3 processor,4.4,217987,11163
samsung,samsung m05,mint green,flipkart,9999.0,6646.0,3353.0,33.0,4,64,6.7,5000,12,50,dimensity 7300 ultimate processor,4.3,2731,116
samsung,samsung galaxy m35,moonlight blue,flipkart,24499.0,15939.0,8560.0,34.0,6,128,6.6,6000,16,50,dimensity 7300 ultimate processor,4.4,24821,1984
motorola,motorola edge 50,hot pink,flipkart,27999.0,20999.0,7000.0,25.0,12,256,6.7,5000,32,12,7s gen 2 processor,4.4,157688,10859
redmi,redmi 13 5g,orchid pink,flipkart,17999.0,12499.0,5500.0,30.0,6,128,6.79,5030,13,108,4 gen 2 ae processor,4.2,42234,2172
tecno,tecno pova 6,azure sky,flipkart,15999.0,9499.0,6500.0,40.0,6,128,6.67,5000,8,12,dimensity 6300 5g processor,4.3,3544,202
